id,area,dynamic,sleak,gleak,gt_pf,gt_pw,gt_area,gt_t,arch0,arch1,arch2,arch3,arch4,arch5,arch6,arch7,arch8,arch9,arch10,arch11,arch12,arch13,arch14,arch15,arch16,arch17,arch18,arch19,arch20,arch21,arch22,arch23,arch24,arch25,arch26,arch27,arch28
96,0.314748,0.223862,0.0189397,0.000335717,0.920889,0.02246,1568287.528,10149.34753,0,0,0,0,1,0,0,1,0,0,1,2,2,2,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
97,0.409412,0.224071,0.0205813,0.000347598,0.963877,0.026484,1558523.537,11657.55321,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
98,0.409412,0.224071,0.0205813,0.000347598,0.972871,0.026484,1584955.534,10849.91782,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,2,3,1,1,1,1,0,1,0,1,0,0,0,0
99,0.409412,0.224071,0.0205813,0.000347598,0.922082,0.026484,1540131.547,10645.24131,0,0,0,0,1,0,0,1,0,0,1,1,1,1,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
100,0.356861,0.223944,0.0196979,0.000341121,0.935426,0.026484,1530363.538,11041.75386,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
101,0.356861,0.223944,0.0196979,0.000341121,0.940312,0.026484,1556795.495,10665.45585,0,0,0,0,2,0,0,2,0,0,2,1,1,1,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
102,0.356861,0.223944,0.0196979,0.000341121,0.925132,0.026484,1520879.541,11234.06649,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
103,0.314751,0.223862,0.0189403,0.000335724,0.931511,0.026484,1511119.502,10734.65599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
104,0.314751,0.223862,0.0189403,0.000335724,0.917792,0.026484,1537551.509,11616.49957,0,0,0,0,2,0,0,2,0,0,2,0,0,0,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
105,0.314751,0.223862,0.0189403,0.000335724,0.93037,0.026484,1572191.523,10004.23702,0,0,0,0,1,0,0,1,0,0,1,2,2,2,3,2,3,1,1,1,1,0,1,0,1,0,0,0,0
